,0,1,2,3,4,5,6,7,8,9,10
0,Epoch,Train_Acc,Train_Conf,Train_Prec,Train_Recall,Train_f1,Test_Acc,Test_Conf,Test_Prec,Test_Recall,Test_f1
1,0,43.75,40.27472202266966,0,0.0,0,70.0,40.27465879917145,0,0.0,0
2,1,56.25,36.655393242836,0.5625,1.0,0.72,30.0,36.65603597958882,0.3,1.0,0.4615384615384615
3,2,56.25,45.37255581882265,0.5625,1.0,0.72,30.0,45.374344786008194,0.3,1.0,0.4615384615384615
4,3,56.25,49.818065762519836,0.5625,1.0,0.72,30.0,49.818282326062516,0.3,1.0,0.4615384615384615
5,4,75.0,74.57044479392823,1.0,0.5555555555555556,0.7142857142857143,80.0,66.52030575843084,1.0,0.3333333333333333,0.5
6,5,56.25,49.59120170937644,0.5625,1.0,0.72,30.0,49.59324697653453,0.3,1.0,0.4615384615384615
7,6,46.875,52.76673611194369,1.0,0.05555555555555555,0.10526315789473684,70.0,50.0,0,0.0,0
8,7,56.25,49.46969581974877,0.5625,1.0,0.72,50.0,59.72164173920949,0.375,1.0,0.5454545454545454
9,8,59.375,51.66587089262311,0.5806451612903226,1.0,0.7346938775510204,40.0,55.50454755624135,0.3333333333333333,1.0,0.5
10,9,90.625,86.08529702538536,1.0,0.8333333333333334,0.9090909090909091,100.0,93.82238487402599,1.0,1.0,1.0
